iter	Passed	Remaining
325	727	1504
326	729	1501
327	731	1498
328	733	1495
329	735	1492
330	736	1489
331	739	1487
332	740	1484
333	743	1483
334	746	1481
335	748	1478
336	750	1476
337	752	1473
338	753	1469
339	755	1466
340	757	1464
341	759	1461
342	761	1459
343	763	1456
344	766	1454
345	767	1450
346	769	1448
347	771	1445
348	774	1444
349	776	1442
350	779	1440
351	781	1438
352	782	1434
353	784	1432
354	786	1429
355	789	1427
356	791	1426
357	794	1424
358	796	1421
359	797	1417
360	799	1415
361	801	1412
362	803	1409
363	806	1408
364	807	1405
365	809	1402
366	811	1399
367	813	1396
368	814	1393
369	817	1391
370	819	1389
371	821	1387
372	823	1384
373	825	1381
374	827	1379
375	829	1376
376	831	1374
377	833	1372
378	835	1369
379	838	1367
380	840	1365
381	842	1362
382	844	1360
383	846	1357
384	847	1354
385	849	1351
386	851	1349
387	854	1347
388	856	1344
389	858	1342
390	859	1339
391	861	1336
392	863	1333
393	865	1331
394	867	1328
395	869	1326
396	871	1324
397	874	1322
398	876	1319
399	878	1317
400	880	1314
401	881	1311
402	883	1308
403	885	1306
404	887	1304
405	889	1301
406	892	1300
407	894	1297
408	896	1295
409	898	1292
410	900	1290
411	902	1288
412	905	1286
413	906	1283
414	908	1281
415	911	1278
416	913	1276
417	914	1273
418	917	1271
419	919	1270
420	922	1268
421	924	1266
422	926	1264
423	929	1262
424	930	1259
425	932	1257
426	935	1255
427	938	1254
428	941	1253
429	944	1251
430	947	1250
431	949	1247
432	951	1246
433	953	1243
434	955	1240
435	957	1238
436	959	1236
437	962	1234
438	964	1232
439	966	1229
440	968	1227
441	970	1225
442	972	1223
443	974	1220
444	976	1218
445	979	1216
446	981	1214
447	984	1212
448	986	1210
449	987	1207
450	990	1205
451	992	1203
452	994	1201
453	996	1198
454	998	1196
455	1000	1194
456	1003	1192
457	1005	1190
458	1008	1188
459	1009	1185
460	1011	1183
461	1014	1180
462	1016	1178
463	1018	1176
464	1020	1174
465	1022	1172
466	1024	1169
467	1026	1167
468	1029	1165
469	1031	1162
470	1033	1160
471	1035	1158
472	1037	1155
473	1039	1153
474	1040	1150
475	1042	1148
476	1045	1146
477	1047	1144
478	1050	1142
479	1051	1139
480	1054	1137
481	1055	1134
482	1058	1132
483	1061	1131
484	1063	1129
485	1065	1127
486	1067	1124
487	1069	1122
488	1071	1120
489	1074	1118
490	1076	1116
491	1078	1113
492	1081	1112
493	1083	1110
494	1085	1107
495	1087	1105
496	1089	1102
497	1091	1100
498	1093	1097
499	1095	1095
500	1098	1093
501	1099	1090
502	1102	1088
503	1104	1086
504	1105	1084
505	1108	1081
506	1110	1079
507	1112	1077
508	1114	1074
509	1116	1072
510	1118	1070
511	1120	1067
512	1122	1065
513	1125	1063
514	1127	1061
515	1129	1059
516	1131	1057
517	1133	1055
518	1136	1053
519	1137	1050
520	1140	1048
521	1142	1046
522	1144	1044
523	1147	1042
524	1149	1039
525	1151	1037
526	1153	1035
527	1155	1032
528	1157	1030
529	1160	1028
530	1161	1026
531	1163	1023
532	1165	1021
533	1167	1018
534	1170	1016
535	1172	1014
536	1175	1013
537	1177	1010
538	1179	1008
539	1181	1006
540	1183	1003
541	1185	1001
542	1187	999
543	1189	997
544	1192	995
545	1194	993
546	1196	990
547	1197	988
548	1199	985
549	1201	983
550	1203	980
551	1206	979
552	1208	976
553	1210	974
554	1212	972
555	1214	969
556	1216	967
557	1218	965
558	1220	963
559	1223	961
560	1225	958
561	1227	956
562	1229	954
563	1231	951
564	1233	949
565	1236	947
566	1238	945
567	1240	943
568	1242	940
569	1244	938
570	1246	936
571	1247	933
572	1250	931
573	1252	929
574	1255	927
575	1258	926
576	1260	924
577	1262	921
578	1264	919
579	1266	916
580	1267	914
581	1269	912
582	1272	910
583	1274	908
584	1276	905
585	1278	903
586	1279	900
587	1282	898
588	1284	896
589	1286	893
590	1288	891
591	1290	889
592	1292	887
593	1295	885
594	1297	883
595	1299	881
596	1302	879
597	1304	876
598	1306	874
599	1308	872
600	1310	870
601	1312	867
602	1314	865
603	1316	863
604	1318	860
605	1321	858
606	1323	856
607	1325	854
608	1327	852
609	1328	849
610	1330	847
611	1333	845
612	1334	842
613	1336	840
614	1338	838
615	1340	835
616	1343	833
617	1345	831
618	1347	829
619	1349	826
620	1351	824
621	1352	822
622	1355	820
623	1357	817
624	1358	815
625	1360	813
626	1363	810
627	1365	808
628	1367	806
629	1369	804
630	1371	802
631	1373	799
632	1375	797
633	1377	795
634	1379	793
635	1381	790
636	1383	788
637	1385	785
638	1386	783
639	1389	781
640	1391	779
641	1393	777
642	1396	775
643	1398	772
644	1399	770
645	1401	768
646	1403	765
647	1405	763
648	1408	761
649	1410	759
650	1412	757
651	1414	755
652	1416	752
653	1418	750
654	1420	748
655	1421	745
656	1424	743
657	1426	741
658	1429	739
659	1431	737
660	1433	735
661	1436	733
662	1438	731
663	1440	728
664	1442	726
665	1444	724
666	1446	722
667	1449	720
668	1451	718
669	1453	715
670	1455	713
671	1457	711
672	1459	709
673	1461	707
674	1464	704
675	1466	702
676	1468	700
677	1470	698
678	1472	695
679	1473	693
680	1476	691
681	1478	689
682	1480	687
683	1482	684
684	1484	682
685	1486	680
686	1488	678
687	1490	675
688	1492	673
689	1495	671
690	1497	669
691	1500	667
692	1502	665
693	1504	663
694	1506	661
695	1508	658
696	1510	656
697	1512	654
698	1515	652
699	1517	650
700	1519	647
701	1521	645
702	1524	643
703	1525	641
704	1528	639
705	1530	637
706	1532	635
707	1535	633
708	1537	631
709	1540	629
710	1542	627
711	1545	624
712	1547	622
713	1550	620
714	1553	619
715	1555	616
716	1557	614
717	1559	612
718	1561	610
719	1563	608
720	1566	606
721	1568	603
722	1570	601
723	1572	599
724	1575	597
725	1577	595
726	1580	593
727	1582	591
728	1584	589
729	1587	587
730	1589	585
731	1592	583
732	1594	580
733	1597	578
734	1600	576
735	1602	574
736	1605	573
737	1608	571
738	1611	569
739	1613	567
740	1616	564
741	1619	563
742	1622	561
743	1625	559
744	1628	557
745	1631	555
746	1634	553
747	1637	551
748	1640	549
749	1643	547
750	1646	545
751	1649	543
752	1651	541
753	1655	540
754	1657	537
755	1660	535
756	1662	533
757	1664	531
758	1667	529
759	1669	527
760	1672	525
761	1674	522
762	1676	520
763	1679	518
764	1681	516
765	1684	514
766	1686	512
767	1689	510
768	1691	508
769	1694	506
770	1696	503
771	1699	501
772	1701	499
773	1703	497
774	1705	495
775	1708	493
776	1709	490
777	1712	488
778	1715	486
779	1717	484
780	1719	482
781	1722	480
782	1724	477
783	1727	475
784	1729	473
785	1731	471
786	1733	469
787	1736	467
788	1738	464
789	1741	462
790	1743	460
791	1746	458
792	1748	456
793	1750	454
794	1754	452
795	1756	450
796	1759	448
797	1762	446
798	1764	443
799	1767	441
800	1769	439
801	1771	437
802	1774	435
803	1776	433
804	1779	430
805	1781	428
806	1783	426
807	1786	424
808	1788	422
809	1791	420
810	1793	417
811	1795	415
812	1798	413
813	1802	411
814	1804	409
815	1806	407
816	1809	405
817	1811	402
818	1813	400
819	1816	398
820	1819	396
821	1821	394
822	1824	392
823	1826	390
824	1829	388
825	1832	385
826	1835	383
827	1837	381
828	1839	379
829	1841	377
830	1844	375
831	1847	373
832	1850	370
833	1853	368
834	1855	366
835	1858	364
836	1861	362
837	1863	360
838	1866	358
839	1867	355
840	1870	353
841	1872	351
842	1874	349
843	1877	346
844	1879	344
845	1881	342
846	1884	340
847	1888	338
848	1891	336
849	1894	334
850	1896	332
851	1898	329
852	1900	327
853	1902	325
854	1905	323
855	1907	320
856	1910	318
857	1913	316
858	1914	314
859	1917	312
860	1919	309
861	1922	307
862	1925	305
863	1927	303
864	1929	301
865	1931	298
866	1934	296
867	1937	294
868	1939	292
869	1942	290
870	1943	287
871	1945	285
872	1947	283
873	1949	281
874	1952	278
875	1954	276
876	1957	274
877	1959	272
878	1961	269
879	1963	267
880	1965	265
881	1968	263
882	1970	261
883	1972	258
884	1974	256
885	1976	254
886	1978	252
887	1980	249
888	1982	247
889	1984	245
890	1986	243
891	1989	240
892	1991	238
893	1993	236
894	1996	234
895	1998	231
896	2000	229
897	2002	227
898	2004	225
899	2007	223
900	2009	220
901	2011	218
902	2014	216
903	2017	214
904	2019	211
905	2021	209
906	2023	207
907	2025	205
908	2027	202
909	2029	200
910	2031	198
911	2034	196
912	2037	194
913	2038	191
914	2040	189
915	2043	187
916	2045	185
917	2048	183
918	2051	180
919	2052	178
920	2055	176
921	2057	174
922	2059	171
923	2061	169
924	2064	167
925	2066	165
926	2068	162
927	2070	160
928	2072	158
929	2075	156
930	2078	154
931	2080	151
932	2083	149
933	2085	147
934	2086	145
935	2088	142
936	2089	140
937	2091	138
938	2093	135
939	2096	133
940	2098	131
941	2101	129
942	2103	127
943	2105	124
944	2108	122
945	2109	120
946	2112	118
947	2114	116
948	2116	113
949	2118	111
950	2120	109
951	2123	107
952	2125	104
953	2127	102
954	2130	100
955	2132	98
956	2134	95
957	2136	93
958	2138	91
959	2140	89
960	2143	86
961	2145	84
962	2147	82
963	2149	80
964	2151	78
965	2153	75
966	2155	73
967	2157	71
968	2159	69
969	2161	66
970	2163	64
971	2165	62
972	2167	60
973	2169	57
974	2171	55
975	2173	53
976	2175	51
977	2177	48
978	2178	46
979	2180	44
980	2182	42
981	2184	40
982	2186	37
983	2189	35
984	2191	33
985	2193	31
986	2195	28
987	2197	26
988	2199	24
989	2201	22
990	2203	20
991	2204	17
992	2206	15
993	2209	13
994	2211	11
995	2212	8
996	2214	6
997	2216	4
998	2218	2
999	2220	0
